ID,Class,att1,att2,att3,att4,att5,att6,att7,att8,att9,att10,att11,att12,att13,att14,att15,att16,att17,att18,att19,att20,att21,att22,att23,att24,att25,att26,att27,att28,att29,att30
1,1,V2,V6,V2,V2,V1,V2,V2,V2,D,A,C,C,,T,0,1,1,5,,3,1271,137395,1,5,3449,1,4,74,1,1
2,0,V2,V1,V2,V1,V4,V3,V3,V2,A,A,C,A,,T,1,1,1,45,,16,1253,135433,1,45,1846,4,4,23,1,1
3,0,V4,V6,V2,V0,V1,V3,V2,V4,B,C,C,B,,T,1,1,1,24,,11,1872,59499,1,24,1936,4,4,31,2,1
4,1,V2,V2,V1,V0,V1,V2,V2,V2,D,A,C,A,,T,0,1,1,9,,16,450,170910,1,9,3833,1,4,64,1,1
5,1,V2,V5,V1,V1,V3,V3,V2,V2,D,A,C,C,,T,0,1,1,21,,10,792,119515,1,21,5249,1,3,26,1,1
6,0,V2,V2,V2,V0,V3,V2,V2,V2,D,A,A,D,,T,0,1,1,12,,9,468,163042,2,12,720,4,4,41,1,1
7,1,V1,V4,V1,V3,V4,V4,V3,V1,B,A,C,B,,T,1,1,1,48,,14,1515,71290,1,48,12170,4,4,36,1,2
8,1,V2,V1,V3,V0,V3,V3,V2,V2,D,A,C,A,,T,1,1,1,24,66,19,514,56647,2,24,3431,3,2,31,1,1
9,1,V4,V1,V2,V0,V3,V3,V2,V4,D,A,C,B,,T,0,1,1,28,,11,836,77355,1,28,2744,4,2,29,2,1
10,0,V2,V1,V5,V1,V3,V3,V2,V2,B,D,C,B,,T,0,1,1,72,,16,763,55859,1,72,5596,2,2,24,1,1
11,1,V2,V3,V1,V2,V3,V3,V2,V2,B,A,C,A,,T,1,1,1,21,,15,1329,149090,1,21,3977,2,3,35,1,1
12,1,V4,V4,V2,V0,V4,V4,V3,V4,A,A,C,D,,T,1,1,1,18,,4,627,131956,1,18,5303,2,4,36,3,1
13,1,V2,V3,V4,V4,V1,V2,V1,V2,B,B,C,C,,T,0,1,1,12,,9,686,146989,1,12,984,1,4,19,1,1
14,0,V2,V4,V1,V1,V2,V3,V2,V2,B,B,C,D,,T,0,1,1,18,,9,842,154097,1,18,1043,4,2,33,1,1
15,1,V4,V4,V2,V0,V1,V3,V2,V4,C,A,C,A,,T,0,2,1,6,,17,662,36641,2,6,1344,1,4,46,2,1
16,0,V2,V3,V2,V4,V3,V3,V2,V2,B,B,C,A,,T,1,1,1,48,,7,251,73954,1,48,9961,1,2,26,1,1
17,1,V4,V3,V2,V0,V1,V3,V2,V4,D,A,C,C,,T,1,1,1,12,,17,869,108954,1,12,1936,4,4,43,3,1
18,1,V3,V6,V5,V1,V1,V2,V2,V3,D,A,C,C,,T,0,1,1,6,,13,762,63484,1,6,1744,1,2,,2,1
19,1,V2,V3,V2,V1,V2,V3,V2,V2,A,A,C,C,,T,0,1,1,24,,8,1307,121197,1,24,4170,4,4,28,1,1
20,0,V2,V4,V2,V4,V3,V3,V1,V2,A,B,C,D,,T,1,1,1,18,8,8,711,105760,1,18,1217,4,3,23,1,1
21,1,V4,V1,V1,V0,V1,V3,V2,V4,B,A,C,A,,T,1,1,1,15,,8,830,158433,1,15,1538,4,4,50,2,3
22,1,V2,V4,V2,V0,V2,V4,V2,V2,D,A,C,C,,T,1,1,1,60,38,8,1029,113850,1,60,10367,2,4,42,1,1
23,1,V4,V4,V2,V0,V4,V3,V3,V4,C,A,C,B,,T,1,1,1,10,,9,1478,84390,1,10,782,4,4,63,2,1
