ID,Predict 1,Predict 2
1001,1,0
1002,0,0
1003,0,0
1004,0,0
1005,0,0
1006,1,1
1007,1,1
1008,0,0
1009,0,1
1010,0,0
1011,0,1
1012,1,1
1013,1,1
1014,0,1
1015,0,1
1016,0,0
1017,0,0
1018,0,0
1019,1,1
1020,0,0
1021,1,1
1022,1,1
1023,1,1
1024,1,1
1025,0,1
1026,1,1
1027,0,0
1028,0,0
1029,1,1
1030,1,1
1031,1,1
1032,1,1
1033,1,1
1034,0,0
1035,0,0
1036,1,1
1037,0,0
1038,0,0
1039,0,0
1040,1,1
1041,1,0
1042,0,0
1043,0,1
1044,1,1
1045,1,1
1046,0,0
1047,0,0
1048,0,0
1049,1,1
1050,0,0
1051,1,1
1052,0,0
1053,0,1
1054,0,1
1055,1,1
1056,1,1
1057,1,1
1058,1,1
1059,1,1
1060,0,0
1061,0,1
1062,1,1
1063,0,0
1064,0,0
1065,0,0
1066,1,1
1067,1,1
1068,1,1
1069,1,1
1070,0,1
1071,1,1
1072,0,0
1073,0,0
1074,1,1
1075,0,0
1076,1,1
1077,1,1
1078,1,1
1079,1,1
1080,1,0
1081,1,1
1082,1,1
1083,1,0
1084,1,1
1085,1,0
1086,0,1
1087,1,0
1088,0,0
1089,1,1
1090,1,1
1091,1,1
1092,0,0
1093,1,1
1094,0,1
1095,0,0
1096,0,0
1097,0,0
1098,0,0
1099,0,0
1100,1,1
